Route,ORIGIN,ORIGIN_City_State,Origin_City,Origin_State,DEST,Dest_City_State,Dest_City,Dest_State,DISTANCE
3174,LAS,"Las Vegas, NV",Las Vegas,NV,ATL,"Atlanta, GA",Atlanta,GA,1747
3175,LAS,"Las Vegas, NV",Las Vegas,NV,ATW,"Appleton, WI",Appleton,WI,1510
3176,LAS,"Las Vegas, NV",Las Vegas,NV,AUS,"Austin, TX",Austin,TX,1090
3177,LAS,"Las Vegas, NV",Las Vegas,NV,AZA,"Phoenix, AZ",Phoenix,AZ,276
3178,LAS,"Las Vegas, NV",Las Vegas,NV,BDL,"Hartford, CT",Hartford,CT,2297
3179,LAS,"Las Vegas, NV",Las Vegas,NV,BHM,"Birmingham, AL",Birmingham,AL,1618
3180,LAS,"Las Vegas, NV",Las Vegas,NV,BIL,"Billings, MT",Billings,MT,754
3181,LAS,"Las Vegas, NV",Las Vegas,NV,BIS,"Bismarck/Mandan, ND",Bismarck/Mandan,ND,1048
3182,LAS,"Las Vegas, NV",Las Vegas,NV,BLI,"Bellingham, WA",Bellingham,WA,954
3183,LAS,"Las Vegas, NV",Las Vegas,NV,BLV,"Belleville, IL",Belleville,IL,1400
3184,LAS,"Las Vegas, NV",Las Vegas,NV,BNA,"Nashville, TN",Nashville,TN,1587
3185,LAS,"Las Vegas, NV",Las Vegas,NV,BOI,"Boise, ID",Boise,ID,519
3186,LAS,"Las Vegas, NV",Las Vegas,NV,BOS,"Boston, MA",Boston,MA,2381
3187,LAS,"Las Vegas, NV",Las Vegas,NV,BUF,"Buffalo, NY",Buffalo,NY,1986
3188,LAS,"Las Vegas, NV",Las Vegas,NV,BUR,"Burbank, CA",Burbank,CA,223
3189,LAS,"Las Vegas, NV",Las Vegas,NV,BWI,"Baltimore, MD",Baltimore,MD,2106
3190,LAS,"Las Vegas, NV",Las Vegas,NV,BZN,"Bozeman, MT",Bozeman,MT,701
3191,LAS,"Las Vegas, NV",Las Vegas,NV,CID,"Cedar Rapids/Iowa City, IA",Cedar Rapids/Iowa City,IA,1319
3192,LAS,"Las Vegas, NV",Las Vegas,NV,CLE,"Cleveland, OH",Cleveland,OH,1824
3193,LAS,"Las Vegas, NV",Las Vegas,NV,CLT,"Charlotte, NC",Charlotte,NC,1916
3194,LAS,"Las Vegas, NV",Las Vegas,NV,CMH,"Columbus, OH",Columbus,OH,1771
3195,LAS,"Las Vegas, NV",Las Vegas,NV,COS,"Colorado Springs, CO",Colorado Springs,CO,604
3196,LAS,"Las Vegas, NV",Las Vegas,NV,CPR,"Casper, WY",Casper,WY,661
3197,LAS,"Las Vegas, NV",Las Vegas,NV,CVG,"Cincinnati, OH",Cincinnati,OH,1678
3198,LAS,"Las Vegas, NV",Las Vegas,NV,DAL,"Dallas, TX",Dallas,TX,1067
3199,LAS,"Las Vegas, NV",Las Vegas,NV,DCA,"Washington, DC",Washington,DC,2089
3200,LAS,"Las Vegas, NV",Las Vegas,NV,DEN,"Denver, CO",Denver,CO,628
3201,LAS,"Las Vegas, NV",Las Vegas,NV,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,1055
3202,LAS,"Las Vegas, NV",Las Vegas,NV,DSM,"Des Moines, IA",Des Moines,IA,1216
3203,LAS,"Las Vegas, NV",Las Vegas,NV,DTW,"Detroit, MI",Detroit,MI,1749
3204,LAS,"Las Vegas, NV",Las Vegas,NV,ELP,"El Paso, TX",El Paso,TX,583
3205,LAS,"Las Vegas, NV",Las Vegas,NV,EUG,"Eugene, OR",Eugene,OR,700
3206,LAS,"Las Vegas, NV",Las Vegas,NV,EWR,"Newark, NJ",Newark,NJ,2227
3207,LAS,"Las Vegas, NV",Las Vegas,NV,FAR,"Fargo, ND",Fargo,ND,1205
3208,LAS,"Las Vegas, NV",Las Vegas,NV,FAT,"Fresno, CA",Fresno,CA,259
3209,LAS,"Las Vegas, NV",Las Vegas,NV,FCA,"Kalispell, MT",Kalispell,MT,845
3210,LAS,"Las Vegas, NV",Las Vegas,NV,FLL,"Fort Lauderdale, FL",Fort Lauderdale,FL,2173
3211,LAS,"Las Vegas, NV",Las Vegas,NV,FSD,"Sioux Falls, SD",Sioux Falls,SD,1104
3212,LAS,"Las Vegas, NV",Las Vegas,NV,GEG,"Spokane, WA",Spokane,WA,806
3213,LAS,"Las Vegas, NV",Las Vegas,NV,GFK,"Grand Forks, ND",Grand Forks,ND,1230
3214,LAS,"Las Vegas, NV",Las Vegas,NV,GJT,"Grand Junction, CO",Grand Junction,CO,420
3215,LAS,"Las Vegas, NV",Las Vegas,NV,GRI,"Grand Island, NE",Grand Island,NE,971
3216,LAS,"Las Vegas, NV",Las Vegas,NV,GRR,"Grand Rapids, MI",Grand Rapids,MI,1642
3217,LAS,"Las Vegas, NV",Las Vegas,NV,GSP,"Greer, SC",Greer,SC,1850
3218,LAS,"Las Vegas, NV",Las Vegas,NV,GTF,"Great Falls, MT",Great Falls,MT,811
3219,LAS,"Las Vegas, NV",Las Vegas,NV,HNL,"Honolulu, HI",Honolulu,HI,2762
3220,LAS,"Las Vegas, NV",Las Vegas,NV,HOU,"Houston, TX",Houston,TX,1235
3221,LAS,"Las Vegas, NV",Las Vegas,NV,IAD,"Washington, DC",Washington,DC,2065
3222,LAS,"Las Vegas, NV",Las Vegas,NV,IAH,"Houston, TX",Houston,TX,1222
3223,LAS,"Las Vegas, NV",Las Vegas,NV,ICT,"Wichita, KS",Wichita,KS,986
3224,LAS,"Las Vegas, NV",Las Vegas,NV,IDA,"Idaho Falls, ID",Idaho Falls,ID,538
3225,LAS,"Las Vegas, NV",Las Vegas,NV,IND,"Indianapolis, IN",Indianapolis,IN,1590
3226,LAS,"Las Vegas, NV",Las Vegas,NV,JAX,"Jacksonville, FL",Jacksonville,FL,1965
3227,LAS,"Las Vegas, NV",Las Vegas,NV,JFK,"New York, NY",New York,NY,2248
3228,LAS,"Las Vegas, NV",Las Vegas,NV,LAX,"Los Angeles, CA",Los Angeles,CA,236
3229,LAS,"Las Vegas, NV",Las Vegas,NV,LBB,"Lubbock, TX",Lubbock,TX,775
3230,LAS,"Las Vegas, NV",Las Vegas,NV,LGB,"Long Beach, CA",Long Beach,CA,231
3231,LAS,"Las Vegas, NV",Las Vegas,NV,LIT,"Little Rock, AR",Little Rock,AR,1294
3232,LAS,"Las Vegas, NV",Las Vegas,NV,LRD,"Laredo, TX",Laredo,TX,1092
3233,LAS,"Las Vegas, NV",Las Vegas,NV,MAF,"Midland/Odessa, TX",Midland/Odessa,TX,795
3234,LAS,"Las Vegas, NV",Las Vegas,NV,MCI,"Kansas City, MO",Kansas City,MO,1139
3235,LAS,"Las Vegas, NV",Las Vegas,NV,MCO,"Orlando, FL",Orlando,FL,2039
3236,LAS,"Las Vegas, NV",Las Vegas,NV,MDW,"Chicago, IL",Chicago,IL,1521
3237,LAS,"Las Vegas, NV",Las Vegas,NV,MEM,"Memphis, TN",Memphis,TN,1416
3238,LAS,"Las Vegas, NV",Las Vegas,NV,MFE,"Mission/McAllen/Edinburg, TX",Mission/McAllen/Edinburg,TX,1210
3239,LAS,"Las Vegas, NV",Las Vegas,NV,MFR,"Medford, OR",Medford,OR,600
3240,LAS,"Las Vegas, NV",Las Vegas,NV,MIA,"Miami, FL",Miami,FL,2174
3241,LAS,"Las Vegas, NV",Las Vegas,NV,MKE,"Milwaukee, WI",Milwaukee,WI,1524
3242,LAS,"Las Vegas, NV",Las Vegas,NV,MLI,"Moline, IL",Moline,IL,1376
3243,LAS,"Las Vegas, NV",Las Vegas,NV,MOT,"Minot, ND",Minot,ND,1098
3244,LAS,"Las Vegas, NV",Las Vegas,NV,MRY,"Monterey, CA",Monterey,CA,375
3245,LAS,"Las Vegas, NV",Las Vegas,NV,MSN,"Madison, WI",Madison,WI,1454
3246,LAS,"Las Vegas, NV",Las Vegas,NV,MSO,"Missoula, MT",Missoula,MT,750
3247,LAS,"Las Vegas, NV",Las Vegas,NV,MSP,"Minneapolis, MN",Minneapolis,MN,1299
3248,LAS,"Las Vegas, NV",Las Vegas,NV,MSY,"New Orleans, LA",New Orleans,LA,1500
3249,LAS,"Las Vegas, NV",Las Vegas,NV,OAK,"Oakland, CA",Oakland,CA,407
3250,LAS,"Las Vegas, NV",Las Vegas,NV,OGD,"Ogden, UT",Ogden,UT,392
3251,LAS,"Las Vegas, NV",Las Vegas,NV,OKC,"Oklahoma City, OK",Oklahoma City,OK,986
3252,LAS,"Las Vegas, NV",Las Vegas,NV,OMA,"Omaha, NE",Omaha,NE,1099
3253,LAS,"Las Vegas, NV",Las Vegas,NV,ONT,"Ontario, CA",Ontario,CA,197
3254,LAS,"Las Vegas, NV",Las Vegas,NV,ORD,"Chicago, IL",Chicago,IL,1514
3255,LAS,"Las Vegas, NV",Las Vegas,NV,ORF,"Norfolk, VA",Norfolk,VA,2154
3256,LAS,"Las Vegas, NV",Las Vegas,NV,PDX,"Portland, OR",Portland,OR,763
3257,LAS,"Las Vegas, NV",Las Vegas,NV,PHL,"Philadelphia, PA",Philadelphia,PA,2176
3258,LAS,"Las Vegas, NV",Las Vegas,NV,PHX,"Phoenix, AZ",Phoenix,AZ,255
3259,LAS,"Las Vegas, NV",Las Vegas,NV,PIA,"Peoria, IL",Peoria,IL,1413
3260,LAS,"Las Vegas, NV",Las Vegas,NV,PIT,"Pittsburgh, PA",Pittsburgh,PA,1910
3261,LAS,"Las Vegas, NV",Las Vegas,NV,PSC,"Pasco/Kennewick/Richland, WA",Pasco/Kennewick/Richland,WA,732
3262,LAS,"Las Vegas, NV",Las Vegas,NV,RAP,"Rapid City, SD",Rapid City,SD,843
3263,LAS,"Las Vegas, NV",Las Vegas,NV,RDU,"Raleigh/Durham, NC",Raleigh/Durham,NC,2026
3264,LAS,"Las Vegas, NV",Las Vegas,NV,RFD,"Rockford, IL",Rockford,IL,1455
3265,LAS,"Las Vegas, NV",Las Vegas,NV,RNO,"Reno, NV",Reno,NV,345
3266,LAS,"Las Vegas, NV",Las Vegas,NV,RSW,"Fort Myers, FL",Fort Myers,FL,2070
3267,LAS,"Las Vegas, NV",Las Vegas,NV,SAN,"San Diego, CA",San Diego,CA,258
3268,LAS,"Las Vegas, NV",Las Vegas,NV,SAT,"San Antonio, TX",San Antonio,TX,1069
3269,LAS,"Las Vegas, NV",Las Vegas,NV,SBN,"South Bend, IN",South Bend,IN,1594
3270,LAS,"Las Vegas, NV",Las Vegas,NV,SCK,"Stockton, CA",Stockton,CA,359
3271,LAS,"Las Vegas, NV",Las Vegas,NV,SDF,"Louisville, KY",Louisville,KY,1624
3272,LAS,"Las Vegas, NV",Las Vegas,NV,SEA,"Seattle, WA",Seattle,WA,867
3273,LAS,"Las Vegas, NV",Las Vegas,NV,SFO,"San Francisco, CA",San Francisco,CA,414
3274,LAS,"Las Vegas, NV",Las Vegas,NV,SGF,"Springfield, MO",Springfield,MO,1209
3275,LAS,"Las Vegas, NV",Las Vegas,NV,SHV,"Shreveport, LA",Shreveport,LA,1243
3276,LAS,"Las Vegas, NV",Las Vegas,NV,SJC,"San Jose, CA",San Jose,CA,386
3277,LAS,"Las Vegas, NV",Las Vegas,NV,SLC,"Salt Lake City, UT",Salt Lake City,UT,368
3278,LAS,"Las Vegas, NV",Las Vegas,NV,SMF,"Sacramento, CA",Sacramento,CA,397
3279,LAS,"Las Vegas, NV",Las Vegas,NV,SMX,"Santa Maria, CA",Santa Maria,CA,310
3280,LAS,"Las Vegas, NV",Las Vegas,NV,SNA,"Santa Ana, CA",Santa Ana,CA,226
3281,LAS,"Las Vegas, NV",Las Vegas,NV,STL,"St. Louis, MO",St. Louis,MO,1371
3282,LAS,"Las Vegas, NV",Las Vegas,NV,TPA,"Tampa, FL",Tampa,FL,1984
3283,LAS,"Las Vegas, NV",Las Vegas,NV,TUL,"Tulsa, OK",Tulsa,OK,1076
3284,LAS,"Las Vegas, NV",Las Vegas,NV,TUS,"Tucson, AZ",Tucson,AZ,364
3285,LAS,"Las Vegas, NV",Las Vegas,NV,TYS,"Knoxville, TN",Knoxville,TN,1739
3286,LAS,"Las Vegas, NV",Las Vegas,NV,XNA,"Fayetteville, AR",Fayetteville,AR,1163
3287,LAW,"Lawton/Fort Sill, OK",Lawton/Fort Sill,OK,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,140
3288,LAX,"Los Angeles, CA",Los Angeles,CA,ABQ,"Albuquerque, NM",Albuquerque,NM,677
3289,LAX,"Los Angeles, CA",Los Angeles,CA,ACV,"Arcata/Eureka, CA",Arcata/Eureka,CA,577
3290,LAX,"Los Angeles, CA",Los Angeles,CA,ANC,"Anchorage, AK",Anchorage,AK,2345
3291,LAX,"Los Angeles, CA",Los Angeles,CA,ASE,"Aspen, CO",Aspen,CO,737
3292,LAX,"Los Angeles, CA",Los Angeles,CA,ATL,"Atlanta, GA",Atlanta,GA,1947
3293,LAX,"Los Angeles, CA",Los Angeles,CA,AUS,"Austin, TX",Austin,TX,1242
3294,LAX,"Los Angeles, CA",Los Angeles,CA,BDL,"Hartford, CT",Hartford,CT,2527
3295,LAX,"Los Angeles, CA",Los Angeles,CA,BIL,"Billings, MT",Billings,MT,970
3296,LAX,"Los Angeles, CA",Los Angeles,CA,BLI,"Bellingham, WA",Bellingham,WA,1047
3297,LAX,"Los Angeles, CA",Los Angeles,CA,BNA,"Nashville, TN",Nashville,TN,1797
3298,LAX,"Los Angeles, CA",Los Angeles,CA,BOI,"Boise, ID",Boise,ID,674
3299,LAX,"Los Angeles, CA",Los Angeles,CA,BOS,"Boston, MA",Boston,MA,2611
3300,LAX,"Los Angeles, CA",Los Angeles,CA,BUF,"Buffalo, NY",Buffalo,NY,2218
3301,LAX,"Los Angeles, CA",Los Angeles,CA,BWI,"Baltimore, MD",Baltimore,MD,2329
3302,LAX,"Los Angeles, CA",Los Angeles,CA,BZN,"Bozeman, MT",Bozeman,MT,902
3303,LAX,"Los Angeles, CA",Los Angeles,CA,CID,"Cedar Rapids/Iowa City, IA",Cedar Rapids/Iowa City,IA,1550
3304,LAX,"Los Angeles, CA",Los Angeles,CA,CLE,"Cleveland, OH",Cleveland,OH,2052
3305,LAX,"Los Angeles, CA",Los Angeles,CA,CLT,"Charlotte, NC",Charlotte,NC,2125
3306,LAX,"Los Angeles, CA",Los Angeles,CA,CMH,"Columbus, OH",Columbus,OH,1995
3307,LAX,"Los Angeles, CA",Los Angeles,CA,COS,"Colorado Springs, CO",Colorado Springs,CO,833
3308,LAX,"Los Angeles, CA",Los Angeles,CA,CVG,"Cincinnati, OH",Cincinnati,OH,1900
3309,LAX,"Los Angeles, CA",Los Angeles,CA,DAL,"Dallas, TX",Dallas,TX,1246
3310,LAX,"Los Angeles, CA",Los Angeles,CA,DCA,"Washington, DC",Washington,DC,2311
3311,LAX,"Los Angeles, CA",Los Angeles,CA,DEN,"Denver, CO",Denver,CO,862
3312,LAX,"Los Angeles, CA",Los Angeles,CA,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,1235
3313,LAX,"Los Angeles, CA",Los Angeles,CA,DRO,"Durango, CO",Durango,CO,640
3314,LAX,"Los Angeles, CA",Los Angeles,CA,DSM,"Des Moines, IA",Des Moines,IA,1447
3315,LAX,"Los Angeles, CA",Los Angeles,CA,DTW,"Detroit, MI",Detroit,MI,1979
3316,LAX,"Los Angeles, CA",Los Angeles,CA,EGE,"Eagle, CO",Eagle,CO,748
3317,LAX,"Los Angeles, CA",Los Angeles,CA,ELP,"El Paso, TX",El Paso,TX,715
3318,LAX,"Los Angeles, CA",Los Angeles,CA,EUG,"Eugene, OR",Eugene,OR,748
3319,LAX,"Los Angeles, CA",Los Angeles,CA,EWR,"Newark, NJ",Newark,NJ,2454
3320,LAX,"Los Angeles, CA",Los Angeles,CA,FAR,"Fargo, ND",Fargo,ND,1440
3321,LAX,"Los Angeles, CA",Los Angeles,CA,FAT,"Fresno, CA",Fresno,CA,209
3322,LAX,"Los Angeles, CA",Los Angeles,CA,FCA,"Kalispell, MT",Kalispell,MT,1014
3323,LAX,"Los Angeles, CA",Los Angeles,CA,FLG,"Flagstaff, AZ",Flagstaff,AZ,393
3324,LAX,"Los Angeles, CA",Los Angeles,CA,FLL,"Fort Lauderdale, FL",Fort Lauderdale,FL,2343
3325,LAX,"Los Angeles, CA",Los Angeles,CA,FSD,"Sioux Falls, SD",Sioux Falls,SD,1340
3326,LAX,"Los Angeles, CA",Los Angeles,CA,GEG,"Spokane, WA",Spokane,WA,945
3327,LAX,"Los Angeles, CA",Los Angeles,CA,GJT,"Grand Junction, CO",Grand Junction,CO,655
3328,LAX,"Los Angeles, CA",Los Angeles,CA,HDN,"Hayden, CO",Hayden,CO,763
3329,LAX,"Los Angeles, CA",Los Angeles,CA,HNL,"Honolulu, HI",Honolulu,HI,2556
3330,LAX,"Los Angeles, CA",Los Angeles,CA,HOU,"Houston, TX",Houston,TX,1390
3331,LAX,"Los Angeles, CA",Los Angeles,CA,IAD,"Washington, DC",Washington,DC,2288
3332,LAX,"Los Angeles, CA",Los Angeles,CA,IAH,"Houston, TX",Houston,TX,1379
3333,LAX,"Los Angeles, CA",Los Angeles,CA,ICT,"Wichita, KS",Wichita,KS,1203
3334,LAX,"Los Angeles, CA",Los Angeles,CA,IDA,"Idaho Falls, ID",Idaho Falls,ID,743
3335,LAX,"Los Angeles, CA",Los Angeles,CA,IND,"Indianapolis, IN",Indianapolis,IN,1814
3336,LAX,"Los Angeles, CA",Los Angeles,CA,ITO,"Hilo, HI",Hilo,HI,2449
3337,LAX,"Los Angeles, CA",Los Angeles,CA,JAC,"Jackson, WY",Jackson,WY,784
3338,LAX,"Los Angeles, CA",Los Angeles,CA,JFK,"New York, NY",New York,NY,2475
3339,LAX,"Los Angeles, CA",Los Angeles,CA,KOA,"Kona, HI",Kona,HI,2504
3340,LAX,"Los Angeles, CA",Los Angeles,CA,LAS,"Las Vegas, NV",Las Vegas,NV,236
3341,LAX,"Los Angeles, CA",Los Angeles,CA,LIH,"Lihue, HI",Lihue,HI,2615
3342,LAX,"Los Angeles, CA",Los Angeles,CA,LIT,"Little Rock, AR",Little Rock,AR,1494
3343,LAX,"Los Angeles, CA",Los Angeles,CA,MCI,"Kansas City, MO",Kansas City,MO,1363
3344,LAX,"Los Angeles, CA",Los Angeles,CA,MCO,"Orlando, FL",Orlando,FL,2218
3345,LAX,"Los Angeles, CA",Los Angeles,CA,MDW,"Chicago, IL",Chicago,IL,1750
3346,LAX,"Los Angeles, CA",Los Angeles,CA,MEM,"Memphis, TN",Memphis,TN,1619
3347,LAX,"Los Angeles, CA",Los Angeles,CA,MFE,"Mission/McAllen/Edinburg, TX",Mission/McAllen/Edinburg,TX,1318
3348,LAX,"Los Angeles, CA",Los Angeles,CA,MFR,"Medford, OR",Medford,OR,630
3349,LAX,"Los Angeles, CA",Los Angeles,CA,MIA,"Miami, FL",Miami,FL,2342
3350,LAX,"Los Angeles, CA",Los Angeles,CA,MKE,"Milwaukee, WI",Milwaukee,WI,1756
3351,LAX,"Los Angeles, CA",Los Angeles,CA,MMH,"Mammoth Lakes, CA",Mammoth Lakes,CA,256
3352,LAX,"Los Angeles, CA",Los Angeles,CA,MRY,"Monterey, CA",Monterey,CA,266
3353,LAX,"Los Angeles, CA",Los Angeles,CA,MSN,"Madison, WI",Madison,WI,1687
3354,LAX,"Los Angeles, CA",Los Angeles,CA,MSO,"Missoula, MT",Missoula,MT,923
3355,LAX,"Los Angeles, CA",Los Angeles,CA,MSP,"Minneapolis, MN",Minneapolis,MN,1535
3356,LAX,"Los Angeles, CA",Los Angeles,CA,MSY,"New Orleans, LA",New Orleans,LA,1670
3357,LAX,"Los Angeles, CA",Los Angeles,CA,MTJ,"Montrose/Delta, CO",Montrose/Delta,CO,666
3358,LAX,"Los Angeles, CA",Los Angeles,CA,OAK,"Oakland, CA",Oakland,CA,337
3359,LAX,"Los Angeles, CA",Los Angeles,CA,OGD,"Ogden, UT",Ogden,UT,611
3360,LAX,"Los Angeles, CA",Los Angeles,CA,OGG,"Kahului, HI",Kahului,HI,2486
3361,LAX,"Los Angeles, CA",Los Angeles,CA,OKC,"Oklahoma City, OK",Oklahoma City,OK,1187
3362,LAX,"Los Angeles, CA",Los Angeles,CA,OMA,"Omaha, NE",Omaha,NE,1330
3363,LAX,"Los Angeles, CA",Los Angeles,CA,ORD,"Chicago, IL",Chicago,IL,1744
3364,LAX,"Los Angeles, CA",Los Angeles,CA,PDX,"Portland, OR",Portland,OR,834
3365,LAX,"Los Angeles, CA",Los Angeles,CA,PHL,"Philadelphia, PA",Philadelphia,PA,2402
3366,LAX,"Los Angeles, CA",Los Angeles,CA,PHX,"Phoenix, AZ",Phoenix,AZ,370
3367,LAX,"Los Angeles, CA",Los Angeles,CA,PIT,"Pittsburgh, PA",Pittsburgh,PA,2136
3368,LAX,"Los Angeles, CA",Los Angeles,CA,PRC,"Prescott, AZ",Prescott,AZ,346
3369,LAX,"Los Angeles, CA",Los Angeles,CA,PSC,"Pasco/Kennewick/Richland, WA",Pasco/Kennewick/Richland,WA,851
3370,LAX,"Los Angeles, CA",Los Angeles,CA,PSP,"Palm Springs, CA",Palm Springs,CA,110
3371,LAX,"Los Angeles, CA",Los Angeles,CA,PVU,"Provo, UT",Provo,UT,569
3372,LAX,"Los Angeles, CA",Los Angeles,CA,RAP,"Rapid City, SD",Rapid City,SD,1078
3373,LAX,"Los Angeles, CA",Los Angeles,CA,RDD,"Redding, CA",Redding,CA,501
3374,LAX,"Los Angeles, CA",Los Angeles,CA,RDM,"Bend/Redmond, OR",Bend/Redmond,OR,726
3375,LAX,"Los Angeles, CA",Los Angeles,CA,RDU,"Raleigh/Durham, NC",Raleigh/Durham,NC,2239
3376,LAX,"Los Angeles, CA",Los Angeles,CA,RNO,"Reno, NV",Reno,NV,391
3377,LAX,"Los Angeles, CA",Los Angeles,CA,SAN,"San Diego, CA",San Diego,CA,109
3378,LAX,"Los Angeles, CA",Los Angeles,CA,SAT,"San Antonio, TX",San Antonio,TX,1211
3379,LAX,"Los Angeles, CA",Los Angeles,CA,SBA,"Santa Barbara, CA",Santa Barbara,CA,89
3380,LAX,"Los Angeles, CA",Los Angeles,CA,SBP,"San Luis Obispo, CA",San Luis Obispo,CA,156
3381,LAX,"Los Angeles, CA",Los Angeles,CA,SDF,"Louisville, KY",Louisville,KY,1843
3382,LAX,"Los Angeles, CA",Los Angeles,CA,SEA,"Seattle, WA",Seattle,WA,954
3383,LAX,"Los Angeles, CA",Los Angeles,CA,SFO,"San Francisco, CA",San Francisco,CA,337
3384,LAX,"Los Angeles, CA",Los Angeles,CA,SGF,"Springfield, MO",Springfield,MO,1423
3385,LAX,"Los Angeles, CA",Los Angeles,CA,SGU,"St. George, UT",St. George,UT,349
3386,LAX,"Los Angeles, CA",Los Angeles,CA,SJC,"San Jose, CA",San Jose,CA,308
3387,LAX,"Los Angeles, CA",Los Angeles,CA,SLC,"Salt Lake City, UT",Salt Lake City,UT,590
3388,LAX,"Los Angeles, CA",Los Angeles,CA,SMF,"Sacramento, CA",Sacramento,CA,373
3389,LAX,"Los Angeles, CA",Los Angeles,CA,STL,"St. Louis, MO",St. Louis,MO,1592
3390,LAX,"Los Angeles, CA",Los Angeles,CA,STS,"Santa Rosa, CA",Santa Rosa,CA,400
3391,LAX,"Los Angeles, CA",Los Angeles,CA,SUN,"Sun Valley/Hailey/Ketchum, ID",Sun Valley/Hailey/Ketchum,ID,696
3392,LAX,"Los Angeles, CA",Los Angeles,CA,TPA,"Tampa, FL",Tampa,FL,2158
3393,LAX,"Los Angeles, CA",Los Angeles,CA,TUL,"Tulsa, OK",Tulsa,OK,1283
3394,LAX,"Los Angeles, CA",Los Angeles,CA,TUS,"Tucson, AZ",Tucson,AZ,451
3395,LAX,"Los Angeles, CA",Los Angeles,CA,XNA,"Fayetteville, AR",Fayetteville,AR,1371
3396,LBB,"Lubbock, TX",Lubbock,TX,AUS,"Austin, TX",Austin,TX,341
3397,LBB,"Lubbock, TX",Lubbock,TX,DAL,"Dallas, TX",Dallas,TX,293
3398,LBB,"Lubbock, TX",Lubbock,TX,DEN,"Denver, CO",Denver,CO,456
3399,LBB,"Lubbock, TX",Lubbock,TX,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,282
3400,LBB,"Lubbock, TX",Lubbock,TX,HOU,"Houston, TX",Houston,TX,474
3401,LBB,"Lubbock, TX",Lubbock,TX,IAH,"Houston, TX",Houston,TX,458
3402,LBB,"Lubbock, TX",Lubbock,TX,LAS,"Las Vegas, NV",Las Vegas,NV,775
3403,LBB,"Lubbock, TX",Lubbock,TX,PHX,"Phoenix, AZ",Phoenix,AZ,588
3404,LBB,"Lubbock, TX",Lubbock,TX,SAF,"Santa Fe, NM",Santa Fe,NM,278
3405,LBE,"Latrobe, PA",Latrobe,PA,FLL,"Fort Lauderdale, FL",Fort Lauderdale,FL,980
3406,LBE,"Latrobe, PA",Latrobe,PA,MCO,"Orlando, FL",Orlando,FL,823
3407,LBE,"Latrobe, PA",Latrobe,PA,MYR,"Myrtle Beach, SC",Myrtle Beach,SC,455
3408,LBE,"Latrobe, PA",Latrobe,PA,RSW,"Fort Myers, FL",Fort Myers,FL,956
3409,LBE,"Latrobe, PA",Latrobe,PA,TPA,"Tampa, FL",Tampa,FL,866
3410,LBF,"North Platte, NE",North Platte,NE,DEN,"Denver, CO",Denver,CO,228
3411,LBL,"Liberal, KS",Liberal,KS,DEN,"Denver, CO",Denver,CO,280
3412,LBL,"Liberal, KS",Liberal,KS,PUB,"Pueblo, CO",Pueblo,CO,212
3413,LCH,"Lake Charles, LA",Lake Charles,LA,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,295
3414,LCH,"Lake Charles, LA",Lake Charles,LA,IAH,"Houston, TX",Houston,TX,127
3415,LCK,"Columbus, OH",Columbus,OH,AUS,"Austin, TX",Austin,TX,1065
3416,LCK,"Columbus, OH",Columbus,OH,CHS,"Charleston, SC",Charleston,SC,503
3417,LCK,"Columbus, OH",Columbus,OH,FLL,"Fort Lauderdale, FL",Fort Lauderdale,FL,961
3418,LCK,"Columbus, OH",Columbus,OH,JAX,"Jacksonville, FL",Jacksonville,FL,646
3419,LCK,"Columbus, OH",Columbus,OH,MSY,"New Orleans, LA",New Orleans,LA,794
3420,LCK,"Columbus, OH",Columbus,OH,MYR,"Myrtle Beach, SC",Myrtle Beach,SC,478
3421,LCK,"Columbus, OH",Columbus,OH,PGD,"Punta Gorda, FL",Punta Gorda,FL,890
3422,LCK,"Columbus, OH",Columbus,OH,PIE,"St. Petersburg, FL",St. Petersburg,FL,821
3423,LCK,"Columbus, OH",Columbus,OH,SAV,"Savannah, GA",Savannah,GA,539
3424,LCK,"Columbus, OH",Columbus,OH,SFB,"Sanford, FL",Sanford,FL,767
3425,LCK,"Columbus, OH",Columbus,OH,SRQ,"Sarasota/Bradenton, FL",Sarasota/Bradenton,FL,856
3426,LCK,"Columbus, OH",Columbus,OH,VPS,"Valparaiso, FL",Valparaiso,FL,675
3427,LEX,"Lexington, KY",Lexington,KY,ATL,"Atlanta, GA",Atlanta,GA,304
3428,LEX,"Lexington, KY",Lexington,KY,CLT,"Charlotte, NC",Charlotte,NC,281
3429,LEX,"Lexington, KY",Lexington,KY,DCA,"Washington, DC",Washington,DC,414
3430,LEX,"Lexington, KY",Lexington,KY,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,785
3431,LEX,"Lexington, KY",Lexington,KY,DTW,"Detroit, MI",Detroit,MI,296
3432,LEX,"Lexington, KY",Lexington,KY,EWR,"Newark, NJ",Newark,NJ,588
3433,LEX,"Lexington, KY",Lexington,KY,FLL,"Fort Lauderdale, FL",Fort Lauderdale,FL,865
